epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,90.5916,1.63926,1.77874,1.16614,0.78116,1,0.845,0.35094,1.72944,1.97779,1.24637,0.000372067,0.000372067,0.000372067
44,91.5489,1.59311,1.56681,1.13342,0.78116,1,0.845,0.35094,1.72944,1.97779,1.24637,0.000356561,0.000356561,0.000356561
1,28.5656,1.40405,1.76217,1.34175,0.73536,0.50819,0.55412,0.24412,1.98405,2.48038,1.84569,0.0451207,7.93388e-05,7.93388e-05
2,50.4915,1.36886,1.36602,1.37568,0.98616,0.72727,0.86254,0.51382,1.2839,1.18252,1.14429,0.0402006,0.000159278,0.000159278
3,71.9695,1.40914,1.36213,1.38834,0.88435,0.81818,0.91979,0.55132,1.22926,0.96429,1.10643,0.0352803,0.000238973,0.000238973
4,95.6216,1.32891,1.27052,1.33145,1,0.98766,0.995,0.59706,1.49142,0.85831,1.20454,0.0303596,0.000318241,0.000318241
5,116.156,1.39791,1.29787,1.37178,0.8863,0.71034,0.79783,0.51449,1.46848,1.34799,1.25364,0.0254382,0.0003969,0.0003969
6,135.482,1.34359,1.25146,1.36806,0.98448,0.81818,0.93714,0.56762,1.29945,1.12717,1.11984,0.0205161,0.000474771,0.000474771
7,155.059,1.38058,1.2972,1.37097,0.78296,0.98481,0.95171,0.5771,1.31286,0.92291,1.10295,0.015593,0.000551673,0.000551673
8,174.652,1.38711,1.26795,1.3578,0.98863,0.72727,0.89024,0.51531,1.60753,1.13706,1.26001,0.0106688,0.000627433,0.000627433
9,194.248,1.34873,1.23615,1.33838,1,0.89437,0.96324,0.52504,1.35667,0.89548,1.15316,0.0057432,0.000701876,0.000701876
10,213.81,1.33648,1.24533,1.33176,0.89344,1,0.965,0.56587,1.48648,0.83445,1.16541,0.000816156,0.000774833,0.000774833
11,236.935,1.34938,1.22055,1.38083,0.82606,0.90909,0.91687,0.56811,1.2556,0.86128,1.17006,0.000769795,0.000769795,0.000769795
12,256.855,1.33863,1.237,1.35949,1,0.99084,0.995,0.58182,1.48283,0.7283,1.14565,0.000763551,0.000763551,0.000763551
13,276.931,1.33823,1.23587,1.38056,0.99652,1,0.995,0.63974,1.26289,0.70958,1.08963,0.000756751,0.000756751,0.000756751
14,297.334,1.31543,1.19649,1.35309,0.98743,1,0.995,0.60269,1.34404,0.87439,1.15209,0.000749406,0.000749406,0.000749406
15,318.502,1.30261,1.15448,1.31933,0.98975,0.90909,0.98115,0.62416,1.46401,0.87752,1.23455,0.000741528,0.000741528,0.000741528
16,339.978,1.36806,1.18063,1.36284,0.89148,0.90909,0.94892,0.60453,1.29749,0.91187,1.10447,0.000733127,0.000733127,0.000733127
17,360.77,1.29559,1.15999,1.33719,1,0.99477,0.995,0.61067,1.33916,0.68061,1.13334,0.000724218,0.000724218,0.000724218
18,380.493,1.34397,1.15902,1.34572,0.91254,1,0.995,0.60237,1.2857,0.75055,1.08371,0.000714814,0.000714814,0.000714814
19,399.805,1.29736,1.11994,1.30723,1,0.99909,0.995,0.55578,1.33076,0.74352,1.19786,0.000704929,0.000704929,0.000704929
20,419.383,1.25506,1.05976,1.27781,0.91612,0.99341,0.98,0.56752,1.35911,0.76087,1.21556,0.000694579,0.000694579,0.000694579
21,439.838,1.27486,1.09062,1.30145,0.91063,1,0.9725,0.6233,1.28918,0.74722,1.13039,0.00068378,0.00068378,0.00068378
22,460.555,1.28014,1.10569,1.32461,0.98822,1,0.995,0.65988,1.23104,0.6011,1.03689,0.000672548,0.000672548,0.000672548
23,484.154,1.29066,1.06417,1.29173,0.99679,1,0.995,0.60598,1.25771,0.66754,1.09308,0.000660901,0.000660901,0.000660901
24,505.925,1.29259,1.12192,1.3188,0.99172,1,0.995,0.70922,1.09308,0.62843,1.00139,0.000648856,0.000648856,0.000648856
25,530.785,1.29761,1.11441,1.33957,0.99253,1,0.995,0.67191,1.26883,0.71544,1.11386,0.000636433,0.000636433,0.000636433
26,559.238,1.26164,1.11356,1.31223,0.9111,1,0.9575,0.52459,1.36542,0.74859,1.12271,0.00062365,0.00062365,0.00062365
27,585.331,1.21324,0.99889,1.27525,0.89574,1,0.9875,0.59571,1.3372,0.79851,1.1565,0.000610527,0.000610527,0.000610527
28,613.147,1.20171,0.95736,1.28675,0.83766,1,0.97297,0.61667,1.43059,0.85528,1.25972,0.000597085,0.000597085,0.000597085
29,636.203,1.24325,1.03593,1.30594,0.98569,0.90909,0.98115,0.61957,1.15243,0.82781,1.05386,0.000583343,0.000583343,0.000583343
30,658.891,1.25309,1.03959,1.29315,0.98963,1,0.995,0.63472,1.04071,0.61483,0.99984,0.000569324,0.000569324,0.000569324
31,688.144,1.2238,0.99065,1.27848,0.90825,1,0.9875,0.67771,1.07091,0.76049,1.03571,0.000555049,0.000555049,0.000555049
32,732.026,1.19174,0.98775,1.24719,0.98331,0.90909,0.9875,0.66597,1.11604,0.82402,1.07254,0.000540539,0.000540539,0.000540539
33,776.478,1.15681,0.93894,1.21538,0.98747,0.90909,0.9875,0.68181,1.07344,0.75718,1.03526,0.000525818,0.000525818,0.000525818
34,811.86,1.17072,0.94391,1.23939,0.99118,1,0.995,0.66248,1.19693,0.60397,1.02823,0.000510908,0.000510908,0.000510908
1,21.8898,1.40405,1.76217,1.34175,0.73536,0.50819,0.55412,0.24412,1.98405,2.48038,1.84569,0.0451207,7.93388e-05,7.93388e-05
2,38.4397,1.36886,1.36602,1.37568,0.98616,0.72727,0.86254,0.51382,1.2839,1.18252,1.14429,0.0402006,0.000159278,0.000159278
3,55.8872,1.40914,1.36213,1.38834,0.88435,0.81818,0.91979,0.55132,1.22926,0.96429,1.10643,0.0352803,0.000238973,0.000238973
4,72.5526,1.32891,1.27052,1.33145,1,0.98766,0.995,0.59706,1.49142,0.85831,1.20454,0.0303596,0.000318241,0.000318241
5,90.2963,1.39791,1.29787,1.37178,0.8863,0.71034,0.79783,0.51449,1.46848,1.34799,1.25364,0.0254382,0.0003969,0.0003969
6,107.524,1.34359,1.25146,1.36806,0.98448,0.81818,0.93714,0.56762,1.29945,1.12717,1.11984,0.0205161,0.000474771,0.000474771
7,124.912,1.38058,1.2972,1.37097,0.78296,0.98481,0.95171,0.5771,1.31286,0.92291,1.10295,0.015593,0.000551673,0.000551673
8,142.333,1.38711,1.26795,1.3578,0.98863,0.72727,0.89024,0.51531,1.60753,1.13706,1.26001,0.0106688,0.000627433,0.000627433
9,159.516,1.34873,1.23615,1.33838,1,0.89437,0.96324,0.52504,1.35667,0.89548,1.15316,0.0057432,0.000701876,0.000701876
10,175.663,1.33648,1.24533,1.33176,0.89344,1,0.965,0.56587,1.48648,0.83445,1.16541,0.000816156,0.000774833,0.000774833
11,192.548,1.34938,1.22055,1.38083,0.82606,0.90909,0.91687,0.56811,1.2556,0.86128,1.17006,0.000769795,0.000769795,0.000769795
12,208.779,1.33863,1.237,1.35949,1,0.99084,0.995,0.58182,1.48283,0.7283,1.14565,0.000763551,0.000763551,0.000763551
13,225.536,1.33823,1.23587,1.38056,0.99652,1,0.995,0.63974,1.26289,0.70958,1.08963,0.000756751,0.000756751,0.000756751
14,241.793,1.31543,1.19649,1.35309,0.98743,1,0.995,0.60269,1.34404,0.87439,1.15209,0.000749406,0.000749406,0.000749406
