epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16879.1,0.60275,1.23788,0.88497,0.87562,0.83973,0.9077,0.79538,0.5194,1.13395,0.85734,0.000643101,0.000643101,0.000643101
43,17280.9,0.60518,1.2438,0.88578,0.87789,0.84193,0.9076,0.79547,0.5189,1.13313,0.85706,0.000628101,0.000628101,0.000628101
44,17682.4,0.60055,1.23287,0.88417,0.87691,0.84168,0.9085,0.79596,0.51858,1.13111,0.85668,0.000612981,0.000612981,0.000612981
45,18083.2,0.60072,1.22831,0.88379,0.87358,0.84226,0.90902,0.79709,0.51833,1.13001,0.85663,0.000597754,0.000597754,0.000597754
46,18485.2,0.59669,1.22656,0.88269,0.88452,0.83922,0.90899,0.798,0.51795,1.12945,0.8567,0.000582435,0.000582435,0.000582435
47,18886.2,0.5965,1.22135,0.88313,0.8742,0.84687,0.90964,0.79784,0.51711,1.12582,0.85635,0.00056704,0.00056704,0.00056704
48,19289.8,0.59371,1.21128,0.88251,0.88749,0.83884,0.90977,0.79799,0.51638,1.12302,0.85604,0.000551584,0.000551584,0.000551584
49,19693.5,0.59435,1.21648,0.88084,0.88792,0.83797,0.91017,0.7978,0.51582,1.12119,0.85578,0.000536081,0.000536081,0.000536081
50,20096.4,0.59163,1.20752,0.88035,0.87974,0.84473,0.91008,0.79769,0.51515,1.12047,0.85549,0.000520548,0.000520548,0.000520548
51,20501.1,0.59022,1.20128,0.88041,0.88105,0.84357,0.91023,0.79821,0.51463,1.12002,0.85528,0.000505,0.000505,0.000505
52,20905.8,0.59044,1.20347,0.8811,0.88199,0.84182,0.91029,0.79845,0.5142,1.11842,0.85511,0.000489452,0.000489452,0.000489452
53,21310.4,0.58826,1.19517,0.87981,0.87567,0.84448,0.91031,0.79884,0.51418,1.1184,0.85511,0.000473919,0.000473919,0.000473919
